trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.4902608213406994}",20,0,-89.72368951842299,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.40079917207997545}",20,14,2.472418797581198,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.30733286997841935}",20,0,2.811256525246831,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,4.905475358981716,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.11215252693505398}",25,7,-2.8299818268572574,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.01238866346289056}",20,15,8.655679278962937,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.08749898343944727}",20,13,11.17778487271302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.18651236942257576}",20,2,-24.093969392631433,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,13,1.518674344157441,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.37797774271298107}",20,1,-88.3135311361021,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.4685166713003771}",25,15,19.127926442005148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5543743361791615}",20,3,10.248872316063126,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.6346928759426347}",30,5,-113.50587002446527,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.70866977429126}",30,7,-10.13643426742378,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7755658785102502}",30,0,-163.17296243766847,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8347127848391598}",20,0,-50.645172687901066,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
